arm,mode,n,completion_rate,rubric_mean,failure_rate,gate_rate,ttft_p50_ms,ttft_p95_ms,total_p50_ms,total_p95_ms,response_tokens_avg,prefill_est_avg,prefill_est_total,correctness,completeness,detail_recall,instruction_adherence,formatting
A,fast,301,0.0,2.4,0.0,0.0,350.0,579.0,0.08229867392219603,0.2481135040288791,442.5282392026578,110856.30897009966,33367749,2.0,1.0,3.0,3.0,3.0
A,cheap,115,0.0,2.4,0.0,0.0,344.0,580.0,0.017730826046317816,0.05583960493095219,457.88695652173914,77685.98260869565,8933888,2.0,1.0,3.0,3.0,3.0
B,fast,301,0.0,2.4,0.0,0.0,350.0,579.0,0.08485289989039302,0.25216834305319935,439.63787375415285,42586.232558139534,12818456,2.0,1.0,3.0,3.0,3.0
B,cheap,115,0.0,2.4,0.0,0.0,344.0,580.0,0.021821147995069623,0.04978126904461533,460.4086956521739,54259.791304347826,6239876,2.0,1.0,3.0,3.0,3.0
C,fast,301,0.0,2.4,0.0,0.0,350.0,579.0,0.017042024992406368,0.043174174963496625,448.24584717607974,110856.30897009966,33367749,2.0,1.0,3.0,3.0,3.0
C,cheap,115,0.0,2.4,0.0,0.0,344.0,580.0,0.016320558032020926,0.03741570794954896,458.4,77685.98260869565,8933888,2.0,1.0,3.0,3.0,3.0
